%KF,time_period,x,y,z,qx,qy,qz,qw
%KF,time_period,x,y,z,qx,qy,qz,qw
1,1,0,0,0,0,0,0,1
2,1,-13.39359664916992,9.535356521606445,-0.2831325531005859,-0.005167519208043814,-0.03987787291407585,-0.04632788896560669,0.9981166124343872
%KF,time_period,x,y,z,qx,qy,qz,qw
1,2,0,0,0,0,0,0,1
2,2,-0.1505904197692871,-18.81482315063477,0.6381505131721497,-0.0120177585631609,-0.01822350174188614,0.008352006785571575,0.9997268319129944
%KF,time_period,x,y,z,qx,qy,qz,qw
1,3,0,0,0,0,0,0,1
2,3,0,0,0,0,0,0,1
%KF,time_period,x,y,z,qx,qy,qz,qw
1,4,0,0,0,0,0,0,1
2,4,-7.002895355224609,3.125732421875,0.03609323501586914,0.004645757377147675,0.009805925190448761,0.01329080294817686,0.9998528361320496
%KF,time_period,x,y,z,qx,qy,qz,qw
1,5,0,0,0,0,0,0,1
2,5,-2.207211494445801,11.5089225769043,0.3522377014160156,-0.001754251890815794,-0.001037078676745296,-0.01883097551763058,0.9998206496238708
%KF,time_period,x,y,z,qx,qy,qz,qw
3,0,0,0,0,0,0,0,1
3,1,-0.2977333068847656,0.2684688568115234,-0.1098865270614624,0.005206852685660124,0.01826748810708523,0.2457079291343689,0.9691578149795532
3,2,-33.13983154296875,18.53509902954102,3.140292882919312,-0.0005109435878694057,-0.04015815630555153,0.9526422023773193,-0.3014297187328339
3,3,2.545528411865234,-0.8829879760742188,-0.06965875625610352,-0.006545375101268291,0.005576323252171278,0.2568496465682983,0.966413140296936
3,4,10.42961883544922,-4.160257339477539,-0.1073856353759766,-0.0004613898927345872,0.002337589394301176,0.1789851188659668,0.9838489294052124
3,5,-6.448249816894531,2.000822067260742,0.1191755533218384,0.005466322880238295,-0.006533770356327295,0.9912785887718201,-0.1315071135759354
%KF,time_period,x,y,z,qx,qy,qz,qw
3,1,0,0,0,0,0,0,1
3,2,-10.65437889099121,17.40568542480469,2.004826545715332,-0.03258316963911057,-0.02663400024175644,0.9980303049087524,0.04652352258563042
3,3,2.075490951538086,-2.205562591552734,0.1290717124938965,-0.01157992612570524,-0.01308926288038492,0.01324449852108955,0.9997596144676208
3,4,7.495382308959961,-8.480201721191406,-0.05953383445739746,-0.01296135596930981,-0.005363635718822479,-0.06599335372447968,0.9977214336395264
3,5,-7.096519470214844,9.928667068481445,0.3811075687408447,-0.01540332101285458,0.00281707919202745,0.9961776733398438,0.08593515306711197
%KF,time_period,x,y,z,qx,qy,qz,qw
3,2,0,0,0,0,0,0,1
3,3,-17.88276672363281,36.52316284179688,-0.7074823379516602,-0.0142335370182991,-0.04175922647118568,0.9978465437889099,0.04853863641619682
3,4,-17.39558219909668,47.86075210571289,-1.143553256988525,-0.02388990670442581,-0.04406239464879036,0.9853872060775757,0.1627877950668335
3,5,-10.92188358306885,22.31148147583008,-0.801459789276123,0.03805122151970863,-0.01036040205508471,-0.1335251033306122,0.9902604818344116
%KF,time_period,x,y,z,qx,qy,qz,qw
3,3,0,0,0,0,0,0,1
3,4,5.213104248046875,-6.628360748291016,-0.5396515130996704,0.0008048833697102964,0.005914416629821062,-0.07904303818941116,0.9968533515930176
3,5,-8.573471069335938,12.59349822998047,0.8236653804779053,-0.002979434560984373,-0.007740227039903402,0.9955092072486877,0.09430044889450073
%KF,time_period,x,y,z,qx,qy,qz,qw
3,4,0,0,0,0,0,0,1
3,5,-16.90432929992676,16.65402793884277,1.256166219711304,-0.008195726200938225,-0.006859886925667524,0.9997661113739014,0.01880474947392941
%KF,time_period,x,y,z,qx,qy,qz,qw
2,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,1
%KF,time_period,x,y,z,qx,qy,qz,qw
2,1,0,0,0,0,0,0,1
3,1,-15.21070098876953,12.72276496887207,1.335411071777344,0.01242199912667274,0.0352511815726757,0.02481703646481037,0.9989930391311646
%KF,time_period,x,y,z,qx,qy,qz,qw
2,2,0,0,0,0,0,0,1
3,2,0,0,0,0,0,0,1
%KF,time_period,x,y,z,qx,qy,qz,qw
2,3,0,0,0,0,0,0,1
3,3,-11.82408714294434,12.19174194335938,0.7622559070587158,-0.01685448735952377,0.002793544670566916,-0.004233715124428272,0.9998451471328735
%KF,time_period,x,y,z,qx,qy,qz,qw
2,4,0,0,0,0,0,0,1
3,4,-14.88876342773438,9.219968795776367,0.1133754551410675,0.00198002252727747,-0.0003961131442338228,-0.02344035729765892,0.9997231960296631
%KF,time_period,x,y,z,qx,qy,qz,qw
2,5,0,0,0,0,0,0,1
3,5,-4.409030914306641,37.17114639282227,2.385080337524414,0.1077698394656181,-0.09453116357326508,-0.4177228510379791,0.8971940279006958
%KF,time_period,x,y,z,qx,qy,qz,qw
4,0,0,0,0,0,0,0,1
4,1,-8.503841400146484,3.385498046875,1.016258955001831,-0.004294422455132008,0.01703597418963909,0.2750497460365295,0.9612694978713989
4,2,-17.48725891113281,7.260714530944824,2.063263893127441,-0.0008032768382690847,-0.05903197824954987,0.9363696575164795,-0.3460152149200439
4,3,1.158748626708984,-1.464634895324707,-0.051084965467453,-0.005110807716846466,0.003541258396580815,0.2888723909854889,0.9573474526405334
4,4,-0.01877593994140625,-1.323596954345703,-0.1280059814453125,0.002221717732027173,0.03426102921366692,0.1995120048522949,0.9792937636375427
4,5,-9.042415618896484,3.383208036422729,0.9965391159057617,-0.01952952705323696,-0.01002913434058428,0.983254611492157,-0.1809099763631821
%KF,time_period,x,y,z,qx,qy,qz,qw
4,1,0,0,0,0,0,0,1
